elevator(deg),beta(deg),alpha(deg),Cx,Cy,Cz,Cl,Cm,Cn
0.0,4.0,0.0,0.0918857488895861,-0.06146175305388805,-0.47121446791994664,-0.006887652672235067,-0.5070359266280301,0.02388953461543722
0.0,4.0,5.0,0.01734901630030831,-0.07665373043518699,-0.36880583144899887,-0.010947456796434525,0.012380928517590794,0.028473442247480753
0.0,4.0,10.0,0.07798391322112319,-0.12885923937029456,-0.7101763621111402,-0.021973022340732284,-0.02674375202772015,0.04795344061914938
0.0,4.0,15.0,0.17921434443999232,-0.14261948625206716,-1.0635261733018195,-0.03659137333529642,-0.09873092302362164,0.05924908432979347
0.0,4.0,20.0,0.334400718862358,-0.0676733574616891,-1.4300104142186612,-0.046143086755366824,-0.21858820122510714,0.04185889473963859
0.0,4.0,25.0,0.6011045232545994,0.27934118478352943,-1.840936135292098,0.01582750238507211,-0.48740207243460787,-0.09581650279456923
20.0,-4.0,-25.0,0.3717641900947975,0.04484521465207603,1.3575809180698044,-0.00527730611956189,-0.09955291932039044,-0.01726856517062651
20.0,-4.0,-20.0,0.2202033878766694,0.04292202880355215,1.0275160162098227,-0.0034487972816970754,-0.17934979839239007,-0.01678431985051464
20.0,-4.0,-15.0,0.10349095920764083,0.04113946345437536,0.6905697611789722,-0.0012733600507445592,-0.2428886914767404,-0.016401319390115455
20.0,-4.0,-10.0,0.021398817788803474,0.03947722695435702,0.3547286591538598,0.0013410052926052464,-0.2859028410976914,-0.01600844710264761
20.0,-4.0,-5.0,-0.027173400257189142,0.03986735861960261,0.022789759124740665,0.004260950499604662,-0.3115618570454992,-0.016180089598536028
20.0,-4.0,0.0,0.12098520539994141,0.06403768237950992,-0.7681213044349737,0.0104883731464572,-0.8986495493232685,-0.024973450023721904
20.0,-4.0,5.0,-0.016194673873326407,0.07926990382012288,-0.6094409083153636,0.01397242960769635,-0.31060101215834235,-0.03001102492943776
20.0,-4.0,10.0,0.04927649587858076,0.13331369661628414,-0.9468487561495809,0.025323618973944775,-0.3435323280522397,-0.050209250626736764
20.0,-4.0,15.0,0.1561520273926714,0.14773540340176314,-1.301022127281322,0.04043242254120258,-0.4155993718322197,-0.06188958674162982
20.0,-4.0,20.0,0.3180513292826847,0.07006930148150248,-1.6718188197945774,0.05048762804754983,-0.5401775925761239,-0.04367808878556157
20.0,-4.0,25.0,0.5935137890992784,-0.28885176859583417,-2.0889519817932234,-0.013464166636975722,-0.8173135134969689,0.0987804697419154
20.0,-2.0,-25.0,0.3721809000024133,0.022407626347487407,1.3620077716680181,-0.002658256319315986,-0.10117503039906824,-0.008632827188786177
20.0,-2.0,-20.0,0.220083675967202,0.02141380447560505,1.0307819308385187,-0.0017426786166872623,-0.1809619480477034,-0.008379293164685801
20.0,-2.0,-15.0,0.10293499531321769,0.020463178753304983,0.692695422252447,-0.000651714394367688,-0.2444015889035679,-0.008166721347434064
20.0,-2.0,-10.0,0.02051906083729296,0.01956647692920159,0.3523657024041146,0.0006508082819260398,-0.2914548946755181,-0.007952870164654931
20.0,-2.0,-5.0,-0.028348717532278606,0.01975733876013758,0.020704985634091504,0.0021046252009500966,-0.3152151317698019,-0.008033435764318931
20.0,-2.0,0.0,-0.03961073617229859,0.02641343502641343,-0.34717903069573264,0.0043735611788143615,-0.3778290907556911,-0.01024086610009978
20.0,-2.0,5.0,-0.01960362783056007,0.040473825012477045,-0.6110465600580668,0.00699492015047959,-0.30997978617867544,-0.0153053247777516
20.0,-2.0,10.0,0.04070977193377958,0.06590160470852374,-0.9452177629626302,0.012767723492761831,-0.3356248709248212,-0.024970329911369254
20.0,-2.0,15.0,0.13839669067125443,0.07530628484422035,-1.2915323265038,0.020643889282835712,-0.3908364179659964,-0.0315482396406923
20.0,-2.0,20.0,0.27542488413329774,0.040054906403899276,-1.640609268258815,0.026396192752809577,-0.47060947614514365,-0.023999357667695082
20.0,-2.0,25.0,0.4518651733628577,-0.08193613029395631,-1.9817826800189604,0.008561621393570305,-0.5678473388686405,0.022192670006448728
20.0,0.0,-25.0,0.37227909841942153,5.0895482901648565e-15,1.3632125279735274,4.2390081264328536e-15,-0.10205045876318833,-2.378853020156866e-15
20.0,0.0,-20.0,0.22004538022202946,3.008393858992909e-15,1.031871382271546,3.0191756989832016e-15,-0.18150252141112594,-1.4165327191470566e-15
20.0,0.0,-15.0,0.10275280941486213,1.360606673548454e-15,0.6934513772665932,1.8760558799971292e-15,-0.2448518748258715,-6.754415175223529e-16
20.0,0.0,-10.0,0.020175713650464246,3.8002036509440175e-16,0.35452562844920354,1.0879683639168527e-15,-0.28965979603652114,-2.154434506787183e-16
